id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,14,40,20,2,"[12, 3]",2,16,0.779
2,Clifford+T,14,40,20,2,"[6, 10]",2,16,0.589
3,Clifford+T,14,40,20,2,"[12, 2]",1,4,0.639
4,Clifford+T,14,40,20,2,"[13, 2]",1,4,0.643
5,Clifford+T,14,40,20,2,"[3, 12]",2,16,0.551
6,Clifford+T,14,40,20,2,"[4, 9]",1,4,0.594
7,Clifford+T,14,40,20,2,"[5, 8]",1,4,0.576
8,Clifford+T,14,40,20,2,"[2, 12]",1,4,0.621
9,Clifford+T,14,40,20,2,"[12, 2]",1,4,0.634
10,Clifford+T,14,40,20,2,"[9, 6]",1,4,0.454
